iteration,ns
973,8574622
974,20590104
975,20263244
976,22063777
977,28039021
978,14468358
979,366187
980,32335119
981,404853
982,20535987
983,11400080
984,20170478
985,11266243
986,41398102
987,21407741
988,29913339
989,24185061
990,20182252
991,20245841
992,275741
993,15176450
994,12279125
995,20313476
996,9853096
997,24717083
998,275481
999,23495663
1000,8607192
